88	79	67	62	62	58	61	87	105	105	103	97	91	80	56	37	37	51	69	75
77	66	59	57	60	58	49	61	78	98	108	101	96	91	77	59	41	35	46	66
59	58	60	63	64	55	52	56	61	85	100	99	98	96	92	85	68	45	34	39
51	55	63	65	59	53	56	60	65	77	82	84	94	98	96	94	90	77	56	36
68	67	66	59	56	57	59	59	58	58	56	58	59	59	58	59	57	58	57	59
67	69	68	63	59	59	58	60	59	57	57	59	59	59	60	59	57	58	56	57
67	66	67	65	64	62	59	59	60	58	60	59	59	58	58	59	59	58	57	58
67	67	71	69	64	65	63	60	60	61	59	59	60	59	59	61	59	58	57	58
68	66	66	66	67	68	66	64	62	59	58	58	60	60	59	60	60	59	59	59
70	66	66	68	70	71	68	65	62	60	58	60	61	59	58	60	60	58	61	59
66	64	67	72	70	69	66	63	65	64	62	61	60	59	62	59	60	54	53	57
64	66	68	71	69	66	63	64	62	63	64	61	61	60	60	60	59	52	51	54
68	66	65	70	66	64	64	65	62	65	65	63	64	59	60	59	58	56	55	54
71	64	63	65	64	65	66	67	64	65	64	63	64	62	60	59	58	57	55	53
59	58	60	63	64	55	52	56	61	85	100	99	98	96	92	85	68	45	34	39
51	55	63	65	59	53	56	60	65	77	82	84	94	98	96	94	90	77	56	36
53	56	68	64	59	57	58	63	63	60	61	63	73	90	95	97	97	93	84	64
52	51	55	43	46	47	53	129	164	82	59	59	78	110	78	59	64	55	50	54
52	53	51	47	49	48	52	95	138	76	69	63	63	71	61	57	59	59	62	54
57	55	52	54	55	53	53	57	65	67	88	64	69	66	63	63	55	56	62	62
