53	49	44	37	47	61	66	67	71	70	69	69	51	44	58	68	71	73	74	78
43	37	43	44	53	63	64	67	71	70	67	77	74	54	43	51	64	73	75	74
69	56	54	46	52	64	68	67	64	62	64	80	91	82	61	43	44	61	74	76
92	86	68	47	45	56	71	77	73	69	74	91	98	98	88	65	47	45	57	70
110	102	87	69	53	43	49	64	77	83	86	98	100	98	89	75	69	54	44	52
106	102	99	87	72	55	45	44	56	73	79	92	95	94	89	80	78	70	60	48
102	102	103	100	92	74	56	42	40	52	64	80	86	88	85	84	88	85	81	73
96	96	101	106	100	92	79	61	44	38	46	66	77	81	83	86	90	86	89	94
89	85	95	107	104	100	96	87	70	49	37	39	57	73	82	87	88	84	93	101
84	80	93	101	107	106	99	98	91	76	53	36	43	65	75	82	86	85	92	97
75	84	92	91	98	103	102	104	102	93	78	61	59	62	59	63	74	86	88	83
81	87	85	83	80	80	91	109	113	103	94	84	78	68	43	40	54	76	83	77
88	79	67	62	62	58	61	87	105	105	103	97	91	80	56	37	37	51	69	75
77	66	59	57	60	58	49	61	78	98	108	101	96	91	77	59	41	35	46	66
59	58	60	63	64	55	52	56	61	85	100	99	98	96	92	85	68	45	34	39
51	55	63	65	59	53	56	60	65	77	82	84	94	98	96	94	90	77	56	36
53	56	68	64	59	57	58	63	63	60	61	63	73	90	95	97	97	93	84	64
67	60	68	64	60	57	58	61	61	57	54	51	69	96	96	97	97	96	94	91
72	64	63	63	60	60	61	59	60	55	54	50	66	101	85	81	93	94	98	99
70	67	60	60	60	63	61	58	63	56	56	55	61	74	69	76	91	91	95	97
