76	65	64	68	65	66	70	69	61	63	65	61	62	64	59	54	55	52	46	45
62	62	82	78	65	65	70	70	66	64	66	59	55	61	63	60	55	51	47	46
56	74	100	86	67	62	64	67	71	74	72	54	43	50	57	64	63	56	51	47
55	59	75	70	68	63	62	58	64	69	64	47	40	38	49	59	62	63	58	50
56	54	61	63	68	70	73	64	57	58	52	42	40	41	46	60	57	60	63	61
61	55	57	62	64	70	77	68	62	59	54	45	39	43	46	58	54	58	59	62
62	58	56	57	59	63	68	67	66	62	59	50	46	47	47	53	48	52	50	54
54	57	55	56	59	59	61	62	65	63	63	61	55	54	50	47	45	48	46	43
50	53	52	52	64	79	68	60	63	66	64	59	60	56	51	45	45	51	45	37
51	53	51	54	64	74	64	59	61	65	65	58	70	97	79	52	47	49	45	39
53	52	52	50	51	58	59	92	100	68	61	67	104	122	98	64	56	45	45	52
52	51	55	43	46	47	53	129	164	82	59	59	78	110	78	59	64	55	50	54
52	53	51	47	49	48	52	95	138	76	69	63	63	71	61	57	59	59	62	54
57	55	52	54	55	53	53	57	65	67	88	64	69	66	63	63	55	56	62	62
59	57	51	55	54	55	56	58	58	54	56	63	68	66	65	64	63	61	57	58
61	58	52	52	54	55	57	61	59	55	55	57	59	61	63	62	64	64	63	59
60	56	48	50	52	57	57	56	57	61	61	61	57	57	59	58	61	63	61	60
57	54	48	50	52	55	55	53	54	58	59	58	53	52	52	54	60	63	64	61
58	51	50	52	53	55	55	54	52	56	54	59	55	49	50	51	59	61	66	64
58	54	53	53	56	54	53	53	53	55	50	53	60	53	58	69	80	80	61	58
