71	64	63	65	64	65	66	67	64	65	64	63	64	62	60	59	58	57	55	53
61	61	78	76	64	63	67	69	66	66	64	61	61	63	64	62	58	57	55	53
59	73	93	80	66	64	64	66	67	67	67	60	56	58	61	63	62	59	57	54
60	67	71	70	67	65	64	63	66	65	64	56	51	52	57	62	62	64	61	56
61	62	63	65	67	68	72	65	60	62	61	54	53	52	57	62	62	61	63	61
64	62	63	64	65	69	73	66	63	63	61	56	53	53	59	62	62	60	62	64
68	64	64	63	64	65	67	65	64	62	62	59	57	57	59	60	59	60	59	61
64	64	62	64	66	65	64	64	63	61	63	64	59	59	59	57	57	59	58	53
59	59	59	61	70	78	69	64	64	63	61	60	63	61	59	57	56	61	54	49
59	56	57	61	68	74	69	65	66	67	65	57	71	93	78	61	58	59	55	53
57	56	57	56	58	68	67	88	92	70	64	68	105	117	91	66	62	57	57	58
56	56	55	52	51	53	62	111	141	81	65	64	81	103	76	59	64	60	57	61
57	56	53	50	48	51	52	85	118	78	71	69	66	74	63	58	59	61	61	59
58	53	53	50	52	52	50	54	65	70	88	69	74	70	67	63	57	57	59	63
53	51	53	53	54	52	51	54	57	58	64	67	71	70	68	66	66	61	60	58
53	53	53	52	51	52	55	57	59	59	60	62	63	66	66	66	66	65	62	57
54	53	52	50	53	53	54	57	60	60	60	60	59	61	62	63	67	66	64	63
57	52	51	54	51	55	55	55	56	56	56	57	55	57	57	60	65	68	68	65
59	53	50	52	53	54	56	54	54	54	55	55	55	56	53	57	64	66	68	70
59	54	50	52	54	56	53	54	55	53	52	54	56	56	57	68	78	77	65	64
